name,stars,price,description,city,country,ratingValue,ratingCount
"Mandarin Oriental, Paris",5.0,1559 USD,"The Mandarin Oriental, Paris, positioned in the 1st arr. district near a subway station, offers an indoor garden.",Paris,France,8.4,121.0
Novotel Paris Centre Tour Eiffel,4.0,195 USD,"Set in the heart of Paris, the perfect 4-star Novotel Paris Centre Tour Eiffel features a swimming pool and has an à la carte restaurant onsite.",Paris,France,8.4,1351.0
Hotel Raphael,5.0,652 USD,"Comprising spacious rooms along with a traditional Hammam and sauna facilities, the 5-star luxurious Raphael Paris features a central location near a subway station.",Paris,France,8.4,251.0
Cler Hotel,3.0,416 USD,"The surrounding area includes Champ de Mars, merely a 10-minute walk away, and La Tour-Maubourg subway station 800 feet from the Cler.",Paris,France,8.4,207.0
Hotel Madison,4.0,224 USD,"The delightful Madison offers a lounge bar and 50 rooms, along with an exceptional location a 5-minute walk from Saint-Sulpice.",Paris,France,8.4,379.0
Paris Marriott Champs Elysees Hotel,5.0,757 USD,"Set in a business neighbourhood in close proximity to Champs-Elysees, the Marriott Champs Elysees features an à la carte restaurant.",Paris,France,8.2,157.0
Hotel Duquesne Eiffel,3.0,180 USD,"Located within 5 minutes' walk of Saint Louis of Les Invalids Cathedral and approximately a 25-minute walk from Louvre Museum, the charming Duquesne Eiffel features various recreational opportunities and entertainment activities.",Paris,France,8.4,317.0
Castille Paris - Starhotels Collezione,5.0,486 USD,"The comfortable 5-star Castille Paris - Starhotels Collezione Paris in the 1st arr. district of Paris, less than 9 minutes by foot from Place de la Concorde, boasts 108 cozy rooms and an authentic restaurant.",Paris,France,8.2,387.0
Hotel Napoleon Paris,5.0,628 USD,"Right next to the Napoleon, there is a subway station and guests can easily reach Champs-Elysees which is a mere 9 minutes' walk from the Napoleon.",Paris,France,8.4,668.0
"Crowne Plaza Paris Republique, An Ihg Hotel",4.0,135 USD,"Ideally located in the lively district of Paris within 450 feet of Place de la Republique, the 4-star Crowne Plaza Paris Republique, An Ihg has 328 rooms.",Paris,France,8.4,975.0
Elysees Union,3.0,187 USD,"Situated in the heart of Paris and around 20 minutes' walk from Eiffel Tower, the wonderful 3-star Elysees Union offers 63 rooms.",Paris,France,8.2,749.0
Le Narcisse Blanc,5.0,882 USD,"Featuring a swimming pool, the 5-star luxury Le Narcisse Blanc Paris in the 7th arr. district boasts 37 rooms.",Paris,France,8.2,126.0
Les Jardins Du Marais,4.0,338 USD,"The 4-star historical Les Jardins Du Marais, positioned in a trendy district near a subway station, offers an a private garden garden.",Paris,France,8.4,632.0
Citadines Tour Eiffel Paris,,274 USD,"Offering a restaurant and a lobby area, the smoke free Citadines Tour Eiffel lies in a residential area, only 800 feet from Marche Grenelle and within a 10-minute drive of Louvre Museum.",Paris,France,8.4,356.0
Splendid Etoile,4.0,416 USD,"Located near a subway station and within 1.5 miles of Eiffel Tower, the 4-star Splendid Etoile Paris offers spa therapy and various recreational opportunities.",Paris,France,8.4,284.0
Hotel De L'Abbaye,4.0,304 USD,"Placed 5 minutes' stroll from Saint Germain des Pres Quarter and in the center of Paris, the comfortable De L'Abbaye offers 43 rooms.",Paris,France,8.6,183.0
Victoria Palace Hotel,4.0,431 USD,"Comprising 93 rooms in the very heart of Paris, the Victoria Palace lies within a 10-minute drive of Champs-Elysees.",Paris,France,8.4,294.0
Le Bristol Paris - An Oetker Collection Hotel,5.0,2117 USD,"The 5-star Le Bristol Paris - An Oetker Collection, positioned in the 8th arr. district near a subway station, offers a French garden.",Paris,France,8.4,157.0
Courtyard By Marriott Paris Gare De Lyon,4.0,229 USD,The Courtyard By Marriott Paris Gare De Lyon is nestled near a shopping district just 10 minutes' walk from Capitainerie du Port de l'Arsenal de la Bastille Marina.,Paris,France,8.4,254.0
Hotel Montalembert,5.0,484 USD,"Located approximately 1.7 miles from Sainte-Chapelle, the charming Montalembert Paris features massage therapy and entertainment activities for guests' convenience.",Paris,France,8.0,137.0
Plaza Tour Eiffel,4.0,352 USD,"Located less than 6 minutes by foot from Place du Trocadero, the 4-star Plaza Tour Eiffel has 41 rooms, and lies near a metro station.",Paris,France,8.4,222.0
Hilton Paris Opera,4.0,386 USD,The 4-star luxurious Hilton Paris Opera is ideally located in a business district and has 268 rooms with views of the city.,Paris,France,8.2,541.0
Hotel D'Orsay - Esprit De France,4.0,385 USD,"Offering baggage storage and a restaurant, the smoke-free D'Orsay - Esprit De France Paris lies in the 7th arr. district of Paris, 25 minutes by foot from Arc de Triomphe and within 1.5 miles of Eiffel Tower.",Paris,France,8.6,556.0
Hotel Du Cadran,4.0,157 USD,The attractive Du Cadran Paris offers 41 rooms in a prestigious area of the city near a subway station.,Paris,France,8.6,382.0
Moxy Paris Bastille,3.0,323 USD,"The 3-star Moxy Paris Bastille Paris is nestled near the entertainment district of Paris, around 5 minutes by foot from Galerie Modus.",Paris,France,8.6,1495.0
Juliana Hotel Paris,5.0,634 USD,One can enjoy a prime location and a traditional Hammam and sauna facilities while staying at the Juliana Hotel near a metro station.,Paris,France,8.2,157.0
Hotel Beige,4.0,225 USD,"Located within 0.3 miles of Wall of Love, the 4-star typical Beige Paris features 34 rooms with views of the city.",Paris,France,8.0,309.0
Hotel Les Bains Paris,5.0,730 USD,"Located in the 3rd arr. district 5 minutes by foot from Metiers Art Museum, the Les Bains features a plunge swimming pool and the lounge bar.",Paris,France,8.2,136.0
Renaissance Paris Republique Hotel & Spa,5.0,485 USD,"Boasting a location 400 feet from Jacques Bonsergent subway station, the elegant 5-star Renaissance Paris Republique Hotel & Spa offers an à la carte restaurant along with a traditional Hammam, a Jacuzzi and a hot tub.",Paris,France,8.4,103.0
Hotel De Nell,5.0,280 USD,"The surrounding area includes Grevin Museum, only a 6-minute walk away, and Grands Boulevards subway station just 5 minutes by foot from the 5-star boutique De Nell Paris.",Paris,France,8.2,199.0
Paris France Hotel,3.0,112 USD,"Near the France Paris, there is a subway station and guests can easily reach Metiers Art Museum which is merely 5 minutes' walk from from the France Paris.",Paris,France,8.4,670.0
Citadines Les Halles Paris,,205 USD,"The 4-star Citadines Les Halles Paris features fitness classes and entertainment activities, and is situated in the living 1st arr. district, near a bus stop.",Paris,France,8.4,995.0
Hotel Wallace - Orso Hotels,4.0,191 USD,"Offering a privileged location near a subway station, the comfortable Wallace - Orso Hotels Paris features fitness classes and entertainment activities.",Paris,France,7.8,324.0
Le Cinq Codet,5.0,518 USD,"Boasting a quiet location in the 7th arr. district of Paris, the trendy 5-star Le Cinq Codet Paris features spa therapy and various recreational opportunities.",Paris,France,8.2,166.0
Chouchou Hotel,4.0,504 USD,"The surrounding area includes Pinacotheque de Paris, a 7-minute walk away, and Chaussee d'Antin - La Fayette subway station only 550 feet from the Chouchou.",Paris,France,8.4,235.0
"Maison Astor Paris, Curio Collection By Hilton",4.0,212 USD,"The Maison Astor Paris, Curio Collection By Hilton Paris is perfectly located in the fashion district of Paris and has 131 rooms with views of the city.",Paris,France,8.2,151.0
Le Littre,4.0,196 USD,"Offering 90 rooms with views of the tower, the charming Le Littre Paris is set in the shopping district of Paris, about 1.8 miles from Grand Palais.",Paris,France,8.4,427.0
Passy Eiffel,3.0,136 USD,"Staying at the 3-star pet-friendly Passy Eiffel, guests can discover the residential area within 0.4 miles of Place du Trocadero.",Paris,France,8.4,451.0
Shangri-La Paris,5.0,1457 USD,"The exclusive 5-star Shangri-La is located in a shopping area near a subway station, boasting 101 rooms along with a steam room, an indoor pool and locker rooms.",Paris,France,8.4,132.0
Paris Marriott Opera Ambassador Hotel,4.0,215 USD,The perfect Marriott Opera Ambassador is located within a short distance of a business district within 2.1 miles of Arc de Triomphe.,Paris,France,8.4,373.0
Maison Colbert Member Of Melia Collection,5.0,215 USD,"Near the superior Maison Colbert Member Of Melia Collection, there is a subway station and guests can easily reach Cathedrale Notre-Dame de Paris which is within 0.2 miles of the superior Maison Colbert Member Of Melia Collection.",Paris,France,8.4,197.0
"Kimpton - St Honore Paris, An Ihg Hotel",5.0,800 USD,"Located within 0.2 miles of Fragonard Musee du Parfum and within 450 feet of Opera subway station, the 5-star Kimpton - St Honore Paris, An Ihg Paris features fitness classes, hammam and entertainment activities.",Paris,France,8.4,102.0
Hotel Elysia By Inwood Hotels,5.0,755 USD,"Guests of the 5-star Elysia By Inwood Hotels can relax in a lounge bar and enjoy a traditional Hammam, a hot tub and sauna facilities, while it boasts a setting near a subway station.",Paris,France,8.4,213.0
Hotel Relais Bosquet By Malone,3.0,244 USD,"Boasting views of the city, along with various recreational opportunities and entertainment activities, the charming Relais Bosquet By Malone Paris is set near a subway station.",Paris,France,8.4,441.0
Hotel Providence,4.0,406 USD,"Thanks to its convenient location, the 4-star Providence is around a 7-minute stroll from Chocolate museum in Paris and there is a metro station near the 4-star Providence.",Paris,France,8.2,7.0
Hotel La Bourdonnais By Inwood Hotels,4.0,717 USD,"Located 8 minutes by foot from Champ de Mars, the charming La Bourdonnais By Inwood Hotels Paris has 53 rooms, and lies near a subway station.",Paris,France,8.4,667.0
Citadines Saint-Germain-Des-Pres Paris,,234 USD,"Offering 204 rooms with views of the river, the smoke free Citadines Saint-Germain-Des-Pres Paris is set in an entertainment area, an 18-minute walk from The Centre Pompidou.",Paris,France,8.6,1007.0
Hotel Adele & Jules,4.0,291 USD,"The 4-star smoke-free Adele & Jules Paris features fitness classes, various recreational opportunities and entertainment activities, and is situated in a commercial district, in walking distance from a subway station.",Paris,France,7.8,387.0
Renaissance Paris Arc De Triomphe Hotel,5.0,293 USD,"Located within 0.4 miles of Arc de Triomphe, the Renaissance Paris Arc De Triomphe has 118 rooms, and lies near a metro station.",Paris,France,8.4,298.0
Hotel Monge,4.0,381 USD,"Located merely 9 minutes by foot from Pantheon and within 5 minutes' walk of Place Monge subway station, the Monge features hammam and entertainment activities.",Paris,France,8.4,176.0
La Demeure Montaigne,5.0,564 USD,"Offering a traditional Hammam, a hot tub and sauna facilities together with an in-house bar, the 5-star La Demeure Montaigne boasts its setting within 10 minutes' walk of Alma - Marceau metro station.",Paris,France,8.4,276.0
Melia Paris Vendome,4.0,354 USD,"Featuring a location in a trendy district, the elegant Melia Paris Vendome boasts 83 rooms and an à la carte restaurant, 0.7 miles from Louvre Museum.",Paris,France,8.4,246.0
Sinner Paris,5.0,541 USD,"Located in the 3rd arr. district of Paris and around a 25-minute walk from Louvre Museum, as well as near a subway station, the luxury Sinner Paris offers massage therapy and entertainment activities.",Paris,France,8.4,115.0
K+K Hotel Cayre Saint Germain Des Pres,4.0,1609 USD,"The 4-star K+K Hotel Cayre Saint Germain Des Pres, lodged in the 7th arr. district of Paris, boasts a lounge bar and views of the garden.",Paris,France,8.4,426.0
Hotel Vernet Champs Elysees Paris,5.0,55 USD,The family-run Vernet Champs Elysees Paris is situated near the shopping district of Paris approximately a 6-minute walk from Arc de Triomphe.,Paris,France,8.2,245.0
Hotel Muguet,3.0,202 USD,Louvre Museum is 1.8 miles from the 3-star Muguet Paris and Sainte-Chapelle is about 1.6 miles away.,Paris,France,8.4,316.0
Hotel Westminster,4.0,434 USD,"Set within 650 feet of Opera underground station, the pet-friendly Westminster offers views of the courtyard and has a steam room and sauna facilities onsite.",Paris,France,8.4,436.0
Hotel Alfred Sommier,5.0,369 USD,"Boasting a quiet location in the entertainment 8th arr. district close to a metro station, the prestigious 5-star Alfred Sommier features fitness classes and entertainment activities on site.",Paris,France,8.2,249.0
Garden-Elysee,4.0,157 USD,"Featuring an a winter garden garden, the Garden-Elysee Paris is set in a central location, within 0.4 miles of Place du Trocadero.",Paris,France,8.4,390.0
Hotel Du Jeu De Paume,4.0,201 USD,"Located 5 minutes' stroll from Ile Saint-Louis, 1.5 miles from the formal 28-hectare Tuileries Garden, the eco-friendly Du Jeu De Paume Paris features fitness classes and entertainment activities along with 30 rooms.",Paris,France,8.4,148.0
Esprit Saint Germain,5.0,463 USD,"Nestled in an entertainment district, only 5 minutes by foot from Senate, the 5-star luxury Esprit Saint Germain features a steam room and sauna facilities.",Paris,France,8.6,181.0
Hotel Trianon Rive Gauche,4.0,126 USD,"Thanks to its quiet location, the stylish 4-star Trianon Rive Gauche Paris is only 8 minutes by foot from Pantheon and there is a metro station near the stylish 4-star Trianon Rive Gauche Paris.",Paris,France,8.4,1265.0
Bulgari Hotel Paris,5.0,2050 USD,"Offering Turkish steam bath, a hot tub and an outdoor swimming pool together with a lounge bar, the Bulgari Hotel Paris boasts its setting about 5 minutes' stroll from Alma - Marceau metro station.",Paris,France,8.0,36.0
Hotel Saint Germain,4.0,109 USD,"Placed at the footsteps of boutiques, bakeries and a market, and 1.4 miles from Champ de Mars, the welcoming 4-star Saint Germain features a restaurant and a storage room.",Paris,France,8.2,280.0
Hotel Left Bank Saint Germain,3.0,177 USD,"The surrounding area includes Cluny Museum, approximately 0.4 miles away, and Odeon subway station within 400 feet of the charming Left Bank Saint Germain.",Paris,France,8.4,532.0
Le Belmont Paris,4.0,178 USD,"Offering fitness classes, facials and massage therapy, the stylish 4-star Le Belmont lies in a shopping area of Paris, approximately a 25-minute walk from Musee d'Orsay and approximately a 20-minute walk from Eiffel Tower.",Paris,France,8.2,403.0
,,,,,,,
The Plaza,5.0,815 USD,"Boasting views of the park, along with fitness classes and massage therapy, the 5-star luxury Plaza New York City is set near a subway station.",New York,United States,8.4,284.0
Stewart Hotel,4.0,109 USD,"Boasting 610 rooms, the 4-star boutique Stewart is centrally located 800 feet from Madison Square Garden.",New York,United States,8.4,1194.0
New York Marriott Marquis,5.0,359 USD,"Located in the entertainment Manhattan district minute walk from Times Square, the contemporary 5-star Marriott Marquis New York City boasts spa therapy, various recreational opportunities and entertainment activities.",New York,United States,8.6,1406.0
Arlo Williamsburg,5.0,305 USD,"Nestled in an entertainment area, the luxury Williamsburg New York City is about 2.3 miles from the 102-story Art Deco skyscraper ""Empire State Building"".",New York,United States,8.4,174.0
Hyatt Grand Central New York,4.0,198 USD,"Located just a drive from Bryant Park, the Hyatt Grand Central New York City features an à la carte restaurant and fitness classes and spa therapy.",New York,United States,8.4,635.0
"The Standard, High Line New York",4.0,326 USD,"Offering American dishes, the upscale 4-star Standard, High Line New York City is set within 450 feet of The High Line in the financial Manhattan district.",New York,United States,8.4,983.0
Row Nyc At Times Square,4.0,92 USD,"Thanks to its central location, the 4-star Row Nyc At Times Square New York City is a mere 5 minutes by foot from Times Square and there is a port a few blocks from the 4-star Row Nyc At Times Square New York City.",New York,United States,8.4,3560.0
Sheraton New York Times Square Hotel,4.0,214 USD,"The smoke free Sheraton New York Times Square New York City in a theater area, just 8 minutes' stroll from Times Square, boasts 1750 comfortable rooms and an American-style restaurant.",New York,United States,8.0,373.0
Wythe Hotel,4.0,300 USD,"Set 4 miles from The Metropolitan Museum of Art, the 4-star Wythe New York City lies in the Williamsburg district of New York City.",New York,United States,8.4,147.0
The Peninsula New York,5.0,761 USD,"Centrally located merely 8 minutes' walk from Rockefeller Center, the Peninsula features a traditional Hammam and an indoor pool.",New York,United States,8.4,186.0
The Rockaway Hotel,4.0,200 USD,"Located within 1.3 miles of Jacob Riis Park, the Rockaway New York City features a swimming pool along with sauna facilities and an outdoor swimming pool.",New York,United States,8.4,35.0
Arlo Nomad,4.0,208 USD,The smoke free Arlo Nomad New York City is situated near the shopping district of New York City 25 minutes by foot from The High Line.,New York,United States,8.4,376.0
Soho Grand Hotel,4.0,303 USD,"Set 5 minutes by car from World Trade Center Memorial Foundation, the modern Soho Grand lies in an industrial area.",New York,United States,8.6,993.0
Yotel New York Times Square,4.0,167 USD,The boutique Yotel New York Times Square New York City is set within a 7-minute walk of 42nd Street and around 25 minutes' walk from St. Patrick's Cathedral.,New York,United States,8.6,2540.0
The Bowery Hotel,5.0,495 USD,"Situated approximately 1.8 miles from World Trade Center Memorial Foundation, the 5-star boutique Bowery New York City features fitness classes and various recreational opportunities.",New York,United States,8.4,163.0
The Ned Nomad,5.0,630 USD,"Located only 8 minutes by foot from Manhattan Skyline and 10 minutes' stroll from 34th Street - Herald Square subway station, the grand Ned Nomad New York City features fitness classes and various recreational opportunities.",New York,United States,8.4,187.0
The Hotel Chelsea,4.0,387 USD,Times Square and Brooklyn Bridge are located 1.4 miles and 2.3 miles from the Hotel Chelsea New York City respectively.,New York,United States,8.2,147.0
The William Vale,5.0,343 USD,"Located in the Brooklyn district of New York City near a metro station, the 5-star William Vale offers 183 rooms and a rooftop bar.",New York,United States,8.4,209.0
New York Hilton Midtown,3.0,217 USD,"Located around 10 minutes by foot from 57th Street - Seventh Avenue subway station and around 7 minutes by foot from Top of the Rock, the 45-story Hilton Midtown boasts a steam room and sauna facilities.",New York,United States,8.6,2993.0
Lotte New York Palace,5.0,465 USD,"Placed in the Manhattan district of New York City, 0.2 miles from Rockefeller Center, the luxury Lotte New York Palace offers a coffee bar together with a steam room and locker rooms.",New York,United States,8.6,784.0
The Westin New York At Times Square,5.0,251 USD,"Offering a central location 7 minutes by foot from Times Square, the fully serviced Westin New York At Times Square holds a total of 873 rooms and boasts fitness classes and entertainment activities.",New York,United States,8.2,354.0
Millennium Hotel Broadway Times Square,4.0,185 USD,"Providing travelers with massage therapy and entertainment activities, the 52-story Millennium Hotel Broadway Times Square New York City is set in the theater district of New York City, an 8-minute walk from Empire State Building.",New York,United States,8.6,1335.0
The Westin New York Grand Central,4.0,249 USD,"Conveniently situated about a 20-minute walk from Times Square, the luxury Westin New York Grand Central New York City boasts fitness classes and various recreational opportunities.",New York,United States,8.6,848.0
The St. Regis New York,5.0,756 USD,"Situated 8 minutes by foot from Rockefeller Center, the perfect St. Regis features 238 rooms with separate bathrooms.",New York,United States,8.4,101.0
The Dominick Hotel,5.0,861 USD,"Located 1.8 miles from Empire State Building, the 46-story Dominick features 391 rooms with views of the downtown.",New York,United States,8.4,398.0
Hampton Inn Manhattan Times Square North,3.0,125 USD,"While staying at the non-smoking Hampton Inn Manhattan Times Square North you are invited to discover Intrepid Sea, set approximately 19 minutes' walk away, or Seventh Avenue, which is 5 minutes' walk away.",New York,United States,8.6,1195.0
Hilton New York Times Square,4.0,215 USD,"Ideally located near a subway station, the 4-star Hilton New York Times Square is also 10 minutes by foot from Empire State Building.",New York,United States,8.6,685.0
Hilton Garden Inn New York - Times Square Central,3.0,216 USD,An American cuisine and a lobby bar are offered during your stay at the 3-star Hilton Garden Inn New York - Times Square Central that boasts a prime setting close to a subway station.,New York,United States,8.2,239.0
1 Hotel Brooklyn Bridge,5.0,597 USD,"Located near a metro station and 10 minutes' drive from One World Observatory, the 5-star 1 Hotel Brooklyn Bridge New York City offers fitness classes, massage therapy and entertainment activities.",New York,United States,8.2,167.0
Omni Berkshire Place,4.0,452 USD,"Boasting an ideal location and access to Top of the Rock, which stands only 7 minutes' walk from, the 4-star Omni Berkshire Place features an American-style restaurant and 396 rooms.",New York,United States,8.4,236.0
Hotel Beacon,4.0,247 USD,"Nestled in a theater neighbourhood near a metro station, the Beacon offers 276 spacious rooms along with views of the park.",New York,United States,8.6,1419.0
Nomo Soho,4.0,249 USD,"SoHo is less than 7 minutes' stroll from the comfortable 4-star Nomo Soho New York City, while Empire State Building is 2.1 miles away.",New York,United States,8.6,718.0
"Dream Downtown, By Hyatt",4.0,511 USD,"Featuring fitness classes and various recreational opportunities, the Dream Downtown, Part Of Hyatt New York City is set in a touristic area around 1.4 miles from Manhattan Skyline.",New York,United States,8.4,832.0
Four Seasons Hotel New York,5.0,701 USD,"Placed in the Manhattan district, the 5-star luxury Four Seasons Hotel New York City is conveniently situated 15 minutes' drive from World Trade Center Memorial Foundation.",New York,United States,8.4,85.0
The Collective Paper Factory,4.0,96 USD,"The 4-star Collective Paper Factory is settled in the Long Island City district of New York City, 2.9 miles from Empire State Building, and includes a lounge bar.",New York,United States,8.4,362.0
Hotel Edison Times Square,4.0,141 USD,"Featuring a classic-style building in a theater district, the 4-star smoke-free Edison Times Square New York City boasts an à la carte restaurant onsite.",New York,United States,8.4,775.0
Ace Hotel Brooklyn,4.0,368 USD,9/11 Memorial and The High Line Park are located 2.3 miles and 4.1 miles from the Ace Hotel Brooklyn respectively.,New York,United States,8.2,123.0
The Hotel At Times Square,3.0,82 USD,"Thanks to its perfect location, the comfortable 3-star Hotel At Times Square New York City is 7 minutes by foot from Fifth Avenue and there is a subway station near the comfortable 3-star Hotel At Times Square New York City.",New York,United States,8.6,1965.0
Pod Times Square,3.0,169 USD,"The 4-star smoke free Pod Times Square New York City is settled in the Manhattan district, 1 miles from Rockefeller Center, and includes a lounge bar.",New York,United States,8.2,604.0
Park Central,4.0,120 USD,A local cuisine and a lobby bar are offered during your stay at the elegant Park Central that boasts a prime setting very close to an expressway.,New York,United States,8.6,2451.0
Pod 51,3.0,151 USD,"Located a 6-minute stroll from Seagram Building and approximately 1.5 miles from Macy's, the 3-star smoke free Pod 51 features various recreational opportunities and entertainment activities.",New York,United States,8.4,1292.0
Conrad New York Downtown,5.0,579 USD,"Situated walk from Battery Park, the 5-star pet-friendly Conrad New York Downtown features fitness classes and entertainment activities.",New York,United States,8.6,485.0
